minutes,name,location
07:01,Damon Henderson,entrance
07:02,Damon Henderson,fruit
07:03,Damon Henderson,fruit
07:03,Brenda Castillo,entrance
07:03,Zachary Bentley,entrance
07:04,Damon Henderson,fruit
07:04,Brenda Castillo,drinks
07:04,Zachary Bentley,fruit
07:04,Barbara Miller,entrance
07:05,Damon Henderson,dairy
07:05,Brenda Castillo,drinks
07:05,Zachary Bentley,fruit
07:05,Barbara Miller,drinks
07:05,Raymond Hill,entrance
07:06,Damon Henderson,dairy
07:06,Brenda Castillo,spices
07:06,Zachary Bentley,dairy
07:06,Barbara Miller,drinks
07:06,Raymond Hill,spices
07:06,Kimberly Calderon,entrance
07:06,Kelly Davis,entrance
07:07,Damon Henderson,dairy
07:07,Brenda Castillo,spices
07:07,Zachary Bentley,drinks
07:07,Barbara Miller,checkout
07:07,Raymond Hill,spices
07:07,Kimberly Calderon,drinks
07:07,Kelly Davis,dairy
07:07,Jennifer Proctor,entrance
07:07,Alexis Miranda,entrance
07:08,Damon Henderson,checkout
07:08,Brenda Castillo,drinks
07:08,Zachary Bentley,fruit
07:08,Raymond Hill,spices
07:08,Kimberly Calderon,checkout
07:08,Kelly Davis,drinks
07:08,Jennifer Proctor,drinks
07:08,Alexis Miranda,spices
07:08,Mrs. Krista Salinas,entrance
07:08,Antonio Collins,entrance
07:09,Brenda Castillo,checkout
07:09,Zachary Bentley,dairy
07:09,Raymond Hill,spices
07:09,Kelly Davis,drinks
07:09,Jennifer Proctor,checkout
07:09,Alexis Miranda,spices
07:09,Mrs. Krista Salinas,spices
07:09,Antonio Collins,spices
07:10,Zachary Bentley,drinks
07:10,Raymond Hill,dairy
07:10,Kelly Davis,drinks
07:10,Alexis Miranda,dairy
07:10,Mrs. Krista Salinas,dairy
07:10,Antonio Collins,drinks
07:10,Kelly Ramirez,entrance
07:11,Zachary Bentley,drinks
07:11,Raymond Hill,dairy
07:11,Kelly Davis,drinks
07:11,Alexis Miranda,spices
07:11,Mrs. Krista Salinas,dairy
07:11,Antonio Collins,drinks
07:11,Kelly Ramirez,fruit
07:11,Daniel Howell,entrance
07:11,Michael Morton,entrance
07:12,Zachary Bentley,drinks
07:12,Raymond Hill,dairy
07:12,Kelly Davis,drinks
07:12,Alexis Miranda,spices
07:12,Mrs. Krista Salinas,spices
07:12,Antonio Collins,spices
07:12,Kelly Ramirez,fruit
07:12,Daniel Howell,fruit
07:12,Michael Morton,dairy
07:12,Ryan Gonzales,entrance
07:12,Jessica Gonzalez,entrance
07:13,Zachary Bentley,checkout
07:13,Raymond Hill,dairy
07:13,Kelly Davis,spices
07:13,Alexis Miranda,dairy
07:13,Mrs. Krista Salinas,fruit
07:13,Antonio Collins,spices
07:13,Kelly Ramirez,dairy
07:13,Daniel Howell,checkout
07:13,Michael Morton,fruit
07:13,Ryan Gonzales,dairy
07:13,Jessica Gonzalez,fruit
07:13,Stephanie Morris,entrance
07:14,Raymond Hill,dairy
07:14,Kelly Davis,drinks
07:14,Alexis Miranda,checkout
07:14,Mrs. Krista Salinas,spices
07:14,Antonio Collins,spices
07:14,Kelly Ramirez,dairy
07:14,Michael Morton,fruit
07:14,Ryan Gonzales,dairy
07:14,Jessica Gonzalez,dairy
07:14,Stephanie Morris,fruit
07:14,Robert Collins,entrance
07:14,Harry Howard,entrance
07:15,Raymond Hill,drinks
07:15,Kelly Davis,drinks
07:15,Mrs. Krista Salinas,checkout
07:15,Antonio Collins,spices
07:15,Kelly Ramirez,dairy
07:15,Michael Morton,spices
07:15,Ryan Gonzales,dairy
07:15,Jessica Gonzalez,dairy
07:15,Stephanie Morris,drinks
07:15,Robert Collins,drinks
07:15,Harry Howard,dairy
07:15,James King,entrance
07:16,Raymond Hill,drinks
07:16,Kelly Davis,spices
07:16,Antonio Collins,dairy
07:16,Kelly Ramirez,dairy
07:16,Michael Morton,spices
07:16,Ryan Gonzales,dairy
07:16,Jessica Gonzalez,dairy
07:16,Stephanie Morris,drinks
07:16,Robert Collins,fruit
07:16,Harry Howard,drinks
07:16,James King,spices
07:16,Henry Le,entrance
07:17,Raymond Hill,spices
07:17,Kelly Davis,spices
07:17,Antonio Collins,dairy
07:17,Kelly Ramirez,checkout
07:17,Michael Morton,spices
07:17,Ryan Gonzales,dairy
07:17,Jessica Gonzalez,dairy
07:17,Stephanie Morris,drinks
07:17,Robert Collins,fruit
07:17,Harry Howard,drinks
07:17,James King,spices
07:17,Henry Le,spices
07:17,Jennifer Anderson,entrance
07:17,Daniel Stewart,entrance
07:18,Raymond Hill,spices
07:18,Kelly Davis,dairy
07:18,Antonio Collins,dairy
07:18,Michael Morton,checkout
07:18,Ryan Gonzales,dairy
07:18,Jessica Gonzalez,dairy
07:18,Stephanie Morris,drinks
07:18,Robert Collins,checkout
07:18,Harry Howard,fruit
07:18,James King,spices
07:18,Henry Le,checkout
07:18,Jennifer Anderson,spices
07:18,Daniel Stewart,dairy
07:18,Stephanie Hernandez,entrance
07:18,James Clark,entrance
07:19,Raymond Hill,dairy
07:19,Kelly Davis,dairy
07:19,Antonio Collins,dairy
07:19,Ryan Gonzales,checkout
07:19,Jessica Gonzalez,fruit
07:19,Stephanie Morris,drinks
07:19,Harry Howard,checkout
07:19,James King,checkout
07:19,Jennifer Anderson,checkout
07:19,Daniel Stewart,dairy
07:19,Stephanie Hernandez,drinks
07:19,James Clark,dairy
07:19,Lisa Jones,entrance
07:19,Brandy Mendez,entrance
07:20,Raymond Hill,dairy
07:20,Kelly Davis,dairy
07:20,Antonio Collins,dairy
07:20,Jessica Gonzalez,dairy
07:20,Stephanie Morris,dairy
07:20,Daniel Stewart,dairy
07:20,Stephanie Hernandez,checkout
07:20,James Clark,dairy
07:20,Lisa Jones,dairy
07:20,Brandy Mendez,dairy
07:20,Joseph Hickman,entrance
07:20,Emma Miller,entrance
07:21,Raymond Hill,dairy
07:21,Kelly Davis,spices
07:21,Antonio Collins,dairy
07:21,Jessica Gonzalez,dairy
07:21,Stephanie Morris,dairy
07:21,Daniel Stewart,checkout
07:21,James Clark,dairy
07:21,Lisa Jones,dairy
07:21,Brandy Mendez,dairy
07:21,Joseph Hickman,fruit
07:21,Emma Miller,spices
07:21,Kyle Pacheco,entrance
07:22,Raymond Hill,dairy
07:22,Kelly Davis,checkout
07:22,Antonio Collins,dairy
07:22,Jessica Gonzalez,dairy
07:22,Stephanie Morris,dairy
07:22,James Clark,checkout
07:22,Lisa Jones,dairy
07:22,Brandy Mendez,fruit
07:22,Joseph Hickman,checkout
07:22,Emma Miller,spices
07:22,Kyle Pacheco,dairy
07:22,Sarah Ruiz,entrance
